"X1","X2","X3","X4","X5","X6"
"LCK","chr1-32649852-32651753","-7.96480963159253","0.0144050806772688","0.892307967851681","0.92"
"LCK","chr1-32753526-32754711","-7.93813853647411","-0.0907612816515559","0.45082605831868","0.54"
"LCK","chr1-32334992-32336553","-7.96250269222768","0.0520779694817768","0.621798565610111","0.74"
"LCK","chr1-32350751-32352122","-7.96119275468644","0.0442177727351094","0.670763227742593","0.64"
"LCK","chr1-32649852-32651753","-8.01526776325285","0.095494053551926","0.457237283212857","0.34"
"LCK","chr1-32753526-32754711","-7.93155154087718","-0.00838732330699888","0.950097463556258","0.98"
"LCK","chr1-32350751-32352122","-7.86487140254418","-0.0300837067648548","0.650754318592696","0.78"
"LCK","chr1-32649852-32651753","-7.8753800989184","-0.00566858755818763","0.945148762374047","0.9"
"LCK","chr1-32753526-32754711","-7.88877253207154","0.0515319670880181","0.548381125829978","0.76"
"LCK","chr1-32649852-32651753","-7.9442497148664","0.0365832646672336","0.686799293874704","0.6"
"LCK","chr1-32753526-32754711","-7.90909196790622","-0.022019896048649","0.812343397216574","0.78"
"LCK","chr1-32753526-32754711","-7.93427755294523","0.0292926936961441","0.691672285260706","0.74"
"SMAP2","chr1-40257250-40258543","-8.13773993044192","0.2759379215992","0.235044959773096","0.2"
"PLK3","chr1-44799651-44801041","-10.2068915205639","0.0403127014774043","0.901646310055219","0.88"
"PLK3","chr1-44813385-44814046","-10.296974240582","0.303701421389937","0.290008302288261","0.4"
"PLK3","chr1-44818973-44820681","-10.2550955052685","0.345349571760462","0.20058631539358","0.16"
"PLK3","chr1-44813385-44814046","-10.7770610685212","0.185216983952366","0.305645945631169","0.16"
"PLK3","chr1-44818973-44820681","-10.7673784847287","0.153096434741192","0.354204271210684","0.4"
"PLK3","chr1-44818973-44820681","-10.5803286640008","-0.306661893580185","0.284576305970784","0.34"
"TUT4","chr1-52920730-52921950","-8.20676143489112","0.0027027925749439","0.977025241071198","0.94"
"JUN","chr1-58779703-58780219","-8.27734500075524","0.81764243551373","3.0921679679733e-28","4e-04"
"JUN","chr1-58782237-58782723","-8.21984343182091","0.0533352264491322","0.387048115149658","0.58"
"JUN","chr1-58783212-58785307","-8.61295241663175","0.429978123248075","0.000132379834421884","0.0216"
"JUN","chr1-58815003-58816666","-8.20961723025968","0.0135055510862842","0.821552714159598","0.88"
"JUN","chr1-58903204-58904272","-8.22138296116669","0.0946787176716005","0.128697542733274","0.4"
"JUN","chr1-58782237-58782723","-6.16085956422262","-0.219580058166375","0.0845247148318749","0.3"
"JUN","chr1-58783212-58785307","-6.32307108077018","0.0487603435781271","0.794890580378377","0.82"
"JUN","chr1-58815003-58816666","-6.0659439059527","-0.330085608343909","0.00825880037707804","0.1"
"JUN","chr1-58903204-58904272","-6.28055259967849","0.144801969882664","0.222234745729056","0.36"
"JUN","chr1-58783212-58785307","-8.6105749267635","0.0983917382525399","0.608428401483815","0.88"
"JUN","chr1-58815003-58816666","-8.45586797486367","-0.164256064192681","0.129024622315068","0.4"
"JUN","chr1-58903204-58904272","-8.50482941460398","-0.264886295813154","0.0235666861831645","0.1484"
"JUN","chr1-58815003-58816666","-8.21146242072523","0.008660163846436","0.865698475539201","0.84"
"JUN","chr1-58903204-58904272","-8.21410543852505","0.0303352553430738","0.572076039259602","0.74"
"JUN","chr1-58903204-58904272","-8.18001743454165","-0.111082032031994","0.267053522197261","0.42"
"PDE4B","chr1-66374030-66375142","-9.06750215026633","0.208843194835766","0.775462449765362","0.7"
"GBP1","chr1-89272246-89273541","-9.49353249508655","0.387700890737268","0.163698127700739","0.3"
"GBP1","chr1-89309979-89311237","-9.64958335777074","1.03434632221976","0.00658501958720704","0.0284"
"GBP1","chr1-89309979-89311237","-8.33639392926441","-0.674030907195976","0.253945670832727","0.58"
"GBP5","chr1-89274199-89274808","-10.606564207747","0.78932239423574","0.0737244648476537","0.0848"
"GBP5","chr1-89278633-89279495","-10.424962691634","-0.053045733175047","0.874219913804774","0.96"
"GBP5","chr1-89309979-89311237","-10.7455102186801","1.17919996483102","0.00277469906808013","0.0028"
"GBP5","chr1-89278633-89279495","-9.80328407209178","-1.38743675693916","0.188441782528707","0.8"
"GBP5","chr1-89309979-89311237","-10.8481061947963","1.52790451654496","0.0260802708216908","0.1"
"GBP5","chr1-89309979-89311237","-10.8577452430365","0.836964251435458","0.0453959848674413","0.0244"
"RPL5","chr1-92858614-92859645","-5.84834771093117","0.000277913569667145","0.995415656924294","0.94"
"RPL5","chr1-92960168-92962796","-5.78127036841856","-0.0709584017256789","0.100759053669296","0.14"
"RPL5","chr1-92980578-92981736","-5.84653427064324","-0.00452056223319651","0.905933196308851","0.62"
"RPL5","chr1-93179195-93181524","-5.81506205003484","-0.0498457487321305","0.22529301969167","0.3"
"RPL5","chr1-92960168-92962796","-6.01002585542236","0.0519652399098249","0.424380088761216","0.56"
"RPL5","chr1-92980578-92981736","-5.96327136167434","-0.00902246062477272","0.879291130010163","0.8"
"RPL5","chr1-93179195-93181524","-5.97192986071209","0.00771787571650963","0.902604309567663","0.98"
"RPL5","chr1-92980578-92981736","-5.9418359468765","-0.0244976490402772","0.396577425554068","0.54"
"RPL5","chr1-93179195-93181524","-5.96465860419803","0.0192585652340614","0.540570672570331","0.82"
"RPL5","chr1-93179195-93181524","-6.03108322148994","-0.00435162024004822","0.922231883310801","0.96"
"DIPK1A","chr1-92980578-92981736","-9.45946233888814","-0.0119146985116478","0.926100381178107","0.94"
"CD2","chr1-116769200-116770550","-8.25285688415322","-0.00640727639589255","0.95063989765894","0.96"
"PLEKHO1","chr1-150281079-150282823","-9.46307950077898","-0.143117460069615","0.544809244211366","0.52"
"ADAMTSL4-AS1","chr1-150562806-150563048","-9.31993968223745","0.475543810575747","0.123002817502975","0.4"
"ADAMTSL4-AS1","chr1-150578547-150580018","-9.4990408205598","0.41396558362554","0.153598485738245","0.22"
"ADAMTSL4-AS1","chr1-150875576-150877286","-9.12785751745878","-0.0955744927183167","0.734329069457235","0.84"
"ADAMTSL4-AS1","chr1-150925622-150926732","-9.49479991848054","0.528357770765983","0.0637502387728296","0.18"
"ADAMTSL4-AS1","chr1-150552000-150552798","-9.32664311129802","1.68093834178786","1.38807457973286e-06","4e-04"
"ADAMTSL4-AS1","chr1-150578547-150580018","-10.5634180568314","0.512027140308542","0.137046022241188","0.26"
"ADAMTSL4-AS1","chr1-150875576-150877286","-10.7683713848755","0.629261164178203","0.0953650180347172","0.18"
"ADAMTSL4-AS1","chr1-150925622-150926732","-10.3273673415814","0.0823161834415131","0.796674652440158","0.9"
"ADAMTSL4-AS1","chr1-150552000-150552798","-10.4611585076965","1.98635959070613","7.86612272257913e-09","4e-04"
"ADAMTSL4-AS1","chr1-150875576-150877286","-9.283878671839","-0.0010728291989086","0.994636297795254","0.98"
"ADAMTSL4-AS1","chr1-150925622-150926732","-9.31177462111007","0.0636582983839618","0.675127928995415","0.68"
"ADAMTSL4-AS1","chr1-150552000-150552798","-9.29663560798406","1.19147766932571","1.96910840687578e-07","4e-04"
"ADAMTSL4-AS1","chr1-150925622-150926732","-9.20642014531077","-0.0699581170795717","0.628083356110467","0.94"
"ADAMTSL4-AS1","chr1-150552000-150552798","-9.25457046272103","1.151642240963","2.41132461748573e-07","4e-04"
"ADAMTSL4-AS1","chr1-150552000-150552798","-9.57374622451391","1.0739051528267","1.97144203355466e-05","4e-04"
"GOLPH3L","chr1-150973513-150975267","-9.59077349048429","-0.273145625161074","0.291330142366645","0.38"
"CTSS","chr1-150514839-150516440","-9.01646131031651","-0.0504529068407363","0.604085693082296","0.72"
"CTSS","chr1-150548569-150549514","-9.03898214438064","0.0430084007007508","0.738790194162471","0.74"
"CTSS","chr1-150696198-150697796","-9.17355450185417","0.218946779904433","0.0252780425053736","0.0412"
"CTSS","chr1-150973513-150975267","-9.06270198592084","0.05017941701548","0.601873156585632","0.72"
"CTSS","chr1-151069980-151071590","-9.00384018801572","-0.0577069769577761","0.547678885401021","0.74"
"CTSS","chr1-151130923-151132155","-9.01123487507251","-0.0512316683305896","0.598403856191539","0.64"
"CTSS","chr1-151145609-151147259","-9.04320420503609","0.033694710952315","0.728593588695236","0.78"
"CTSS","chr1-151189514-151190574","-9.03174284275357","-0.00114400158780461","0.990599385647547","0.84"
"CTSS","chr1-151197881-151199680","-9.03686590516471","0.00925119502098524","0.92379554519649","1"
"CTSS","chr1-150548569-150549514","-8.6328406102752","0.017145535419296","0.91227180135705","0.84"
"CTSS","chr1-150696198-150697796","-8.66868092805649","0.0635608053438312","0.537701751195694","0.46"
"CTSS","chr1-150973513-150975267","-8.7025280302342","0.11573280318297","0.257504797218283","0.22"
